Source (A),Source (B),Source (C),Source (D),Source (E),Source (F),Source (G),Source (H),WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,informal,swear,netspeak,assent,nonflu,filler
765,1436258074852044830,73,,"Anonymised account discussing day to day life, #Mentalhealth, #Bipolar, #Anxiety, and #OCD. UK based. 🏳️‍🌈",2021-10-20 07:13:24,"Today's goals.
1. Take meds
2. Drink 3 litres
3. Eat
4. Watch #PrisonBreak &amp; #PrivatePractice
5. Read The Witcher Sword of Destiny
6. Record dreams
7. Blood test
8. Dog walk
9. Don't self-harm
10. Keep distracted 
11. Survive
#mentalhealth #bipolar #anxiety #OCD","['PrisonBreak', 'PrivatePractice']",45,93.26,58.78,1.00,1.00,3.46,20.00,55.56,8.89,0.00,6.67,2.22,0.00,0.00,4.44,0.00,0.00,2.22,0.00,2.22,2.22,0.00,0.00,0.00,0.00,0.00,8.89,0.00,4.44,2.22,4.44,0.00,0.00,15.56,2.22,0.00,0.00,0.00,0.00,0.00,0.00
766,89962967,29198,"Boulder CO, USA","Peter Strong - Psychotherapist specializing in #MindfulnessTherapy via Skype for #Anxiety, #Agoraphobia, #OCD, #Depression, #PTSD & #Addiction. #OnlineTherapy",2021-10-20 06:50:01,"Online Therapist for OCD. See: https://t.co/37SDggbIH6
Contact me if you are looking for effective Online Mindfulness Therapy via Skype for overcoming OCD.#OCD #OCDrecovery #OCDawareness",,30,93.26,63.05,23.51,25.77,15.00,33.33,70.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,0.00,3.33,0.00,0.00,10.00,6.67,3.33,3.33,3.33,0.00,3.33,3.33,0.00,3.33,0.00,0.00,0.00,0.00,6.67,0.00,3.33,0.00,3.33,0.00,0.00,0.00
767,962946211333509120,3099,"Gurgaon, India",,2021-10-20 06:22:42,"Finally! A #real #therapist showing you how to treat your #OCD from #home. The #program covers all topics of #OCD! The #Online #OCD_program takes you through REAL #treatment. 
https://t.co/37gBtnSuNq https://t.co/ehEmuOomF3","['real', 'therapist', 'OCD', 'home', 'program', 'OCD']",39,95.33,93.79,1.00,73.64,7.80,23.08,64.10,2.56,2.56,0.00,0.00,0.00,0.00,7.69,0.00,0.00,0.00,0.00,5.13,0.00,2.56,0.00,0.00,2.56,0.00,2.56,0.00,0.00,0.00,2.56,0.00,0.00,2.56,0.00,5.13,0.00,5.13,0.00,0.00,0.00
768,2050001283,314,,,2021-10-20 06:20:15,"#sXwimepslxmp XMfyyYO/ #oCd https://t.co/RuJB6FRKmw","['sXwimepslxmp', 'oCd']",8,93.26,50.00,1.00,25.77,8.00,37.50,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.50,0.00,12.50,0.00,0.00,0.00
769,1383714050844946439,186,"Lake District, England","Be Humble Be Kind Be You 

Confuse Them With Your Silence Shock Them With Your Results 

Stay Close To People Who Feel Like Sunlight 

OurStoryIsntOverYet;",2021-10-20 06:10:47,"Our illness is not Our identity. Our chemistry is not Our character.” 

It Will Not Define Who We Really Are. 

#Anxiety
#depression 
#Ocd 
#PTSD 
#cptsd 
#adhd 
#bipolar 
#bpd 
#bulimia 
#emetaphobia
#Psychosis 
#agoraphobia 
#BDD
....

#mentalhealth 
#KeepTalkingMH",,35,5.89,87.34,13.15,1.00,7.00,37.14,62.86,5.71,0.00,5.71,2.86,0.00,2.86,17.14,0.00,0.00,0.00,0.00,14.29,2.86,0.00,0.00,0.00,0.00,11.43,14.29,14.29,0.00,0.00,0.00,0.00,0.00,11.43,2.86,0.00,0.00,0.00,0.00,0.00,0.00
770,238018585,1678,"Minato-ku, Tokyo",TELL is dedicated to providing effective support and counseling services to Japan's international community and its increasing mental health needs.,2021-10-20 05:54:00,"So far, many research results have been published showing that cognitive-behavioral therapy (CBT) has been successful as one of the treatments for OCD. 

Source:
(https://t.co/YaNt2RYcqA)

#OCD #mentalhealth https://t.co/yL9Eu22yws",,37,76.55,50.00,1.00,75.85,18.50,32.43,70.27,2.70,2.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.41,0.00,5.41,0.00,0.00,0.00,0.00,2.70,0.00,2.70,0.00,2.70,0.00,5.41,5.41,0.00,5.41,0.00,5.41,0.00,0.00,0.00
771,811212860936388608,684,"St Louis, MO","Licensed psychologist, clinical child psychology | OCD & anxiety-related disorders and ADHD, defiance, & parenting | He/his/him",2021-10-20 03:54:07,"Invalidation be like… 
🥵🥵🥵

So what can we say instead?
&gt;It’s OK to feel this way
&gt;It makes a lot of sense you’re feeling this way
&gt;That’s really hard. Tell me more about it

#Anxiety #OCD #Depression #CBTWorks https://t.co/KtIa5sTFzW",,45,18.82,74.76,29.55,3.92,15.00,15.56,80.00,6.67,2.22,4.44,2.22,0.00,2.22,8.89,0.00,0.00,0.00,0.00,15.56,6.67,2.22,0.00,2.22,0.00,4.44,2.22,2.22,0.00,0.00,0.00,0.00,0.00,20.00,0.00,4.44,0.00,2.22,2.22,0.00,0.00
772,829845299036356608,13,"My mind ",Pixel artist | Graphic designer | Commisions: Sure | Look at more of my projects ⬇️,2021-10-20 03:53:41,"#Day19: Perfect fit

So close... 
Being evil &gt; perfect fit. 

#Tetris #octobit #pixelart #pixelstudio #OCD https://t.co/UlOgMe0d25","['Day19', 'Tetris', 'octobit', 'pixelart', 'pixelstudio', 'OCD']",20,66.46,50.00,43.37,96.76,6.67,30.00,55.00,15.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,10.00,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,10.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00
773,1148645110307020803,1638,Mars,This is a BOT! The purpose is to find #autism papers on twitter and retweet them. No Replies! #autismus #autismo #asperger #autistic #autisme,2021-10-20 03:47:22,"Some words on OCD and #autism. Some confuse #OCD, bipolar and #autism. some explanation https://t.co/GUy50oapIw
 #Autism","['autism', 'OCD', 'autism', 'Autism']",20,87.27,69.14,3.37,1.00,6.67,20.00,65.00,5.00,0.00,5.00,5.00,0.00,0.00,5.00,0.00,5.00,0.00,5.00,25.00,5.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,0.00,0.00
774,450132705,12924,Canada and Worldwide 🇨🇦,Vine Voice Reviewer + Verified Influencer 📖 Freelance Editor 📚 Author Events Guru ✒ Truth Speaker #giveaway #booktwitter #editor #bookmarketing #bookstagram,2021-10-20 03:07:01,"#TuesdayBookBlog I’LL PRAY WHEN I’M DYING by Stephen J. Golds (@SteveGone58) The best fictional depiction of OCD I’ve ever read. Hard-hitting, tough, and non-PC. Fabulous #OCD #noir https://t.co/qjJmUTT8C3 via @OlgaNM7",['TuesdayBookBlog'],36,62.04,20.24,39.76,98.27,9.00,25.00,63.89,8.33,5.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,2.78,0.00,2.78,0.00,2.78,2.78,2.78,0.00,0.00,5.56,5.56,2.78,0.00,2.78,0.00,0.00,0.00
